YearName,Topic,ViewBy,Grouping,Series,Value
2017,Number of cases,Race,All cases,All cases - White,11937
2011,Number of cases,Race,Epi Class,CA - Non-white,1076
2012,Number of cases,Race,Epi Class,CA - Non-white,1043
2013,Number of cases,Race,Epi Class,CA - Non-white,1186
2014,Number of cases,Race,Epi Class,CA - Non-white,1431
2015,Number of cases,Race,Epi Class,CA - Non-white,1572
2016,Number of cases,Race,Epi Class,CA - Non-white,1673
2017,Number of cases,Race,Epi Class,CA - Non-white,1404
2011,Number of cases,Race,Epi Class,CA - White,4208
2012,Number of cases,Race,Epi Class,CA - White,4924
2013,Number of cases,Race,Epi Class,CA - White,5255
2014,Number of cases,Race,Epi Class,CA - White,5239
2015,Number of cases,Race,Epi Class,CA - White,6116
2016,Number of cases,Race,Epi Class,CA - White,6242
2017,Number of cases,Race,Epi Class,CA - White,6135
2011,Number of cases,Race,Epi Class,HA - Non-white,2191
2012,Number of cases,Race,Epi Class,HA - Non-white,2347
2013,Number of cases,Race,Epi Class,HA - Non-white,2327
2014,Number of cases,Race,Epi Class,HA - Non-white,2408
2015,Number of cases,Race,Epi Class,HA - Non-white,2612
2016,Number of cases,Race,Epi Class,HA - Non-white,2359
2017,Number of cases,Race,Epi Class,HA - Non-white,2171
2011,Number of cases,Race,Epi Class,HA - White,7986
2012,Number of cases,Race,Epi Class,HA - White,8135
2013,Number of cases,Race,Epi Class,HA - White,7611
2014,Number of cases,Race,Epi Class,HA - White,7255
2015,Number of cases,Race,Epi Class,HA - White,7054
2016,Number of cases,Race,Epi Class,HA - White,6522
2017,Number of cases,Race,Epi Class,HA - White,5802
2018,Number of Cases,Race,Epi Class,CA - Non-white,1571
2018,Number of Cases,Race,Epi Class,HA - Non-white,2090
2018,Number of Cases,Race,Epi Class,CA - White,6330
2018,Number of Cases,Race,Epi Class,HA - White,5600
2019,Number of Cases,Race,Epi Class,CA - Non-white,1639
2019,Number of Cases,Race,Epi Class,HA - Non-white,2066
2019,Number of Cases,Race,Epi Class,CA - White,5989
2019,Number of Cases,Race,Epi Class,HA - White,4919
2011,Number of cases,Sex,All cases,All cases - Female,8967
2012,Number of cases,Sex,All cases,All cases - Female,9709
2013,Number of cases,Sex,All cases,All cases - Female,9670
2014,Number of cases,Sex,All cases,All cases - Female,9626
2015,Number of cases,Sex,All cases,All cases - Female,10262
2016,Number of cases,Sex,All cases,All cases - Female,9690
2017,Number of cases,Sex,All cases,All cases - Female,9011
2011,Number of cases,Sex,All cases,All cases - Male,6494
2012,Number of cases,Sex,All cases,All cases - Male,6740
2013,Number of cases,Sex,All cases,All cases - Male,6709
2014,Number of cases,Sex,All cases,All cases - Male,6707
2015,Number of cases,Sex,All cases,All cases - Male,7092
2016,Number of cases,Sex,All cases,All cases - Male,7106
2017,Number of cases,Sex,All cases,All cases - Male,6501
2011,Number of cases,Sex,Epi Class,CA - Female,3260
2012,Number of cases,Sex,Epi Class,CA - Female,3724
2013,Number of cases,Sex,Epi Class,CA - Female,4040
2014,Number of cases,Sex,Epi Class,CA - Female,4183
2015,Number of cases,Sex,Epi Class,CA - Female,4901
2016,Number of cases,Sex,Epi Class,CA - Female,4899
2017,Number of cases,Sex,Epi Class,CA - Female,4710
2011,Number of cases,Sex,Epi Class,CA - Male,2024
2012,Number of cases,Sex,Epi Class,CA - Male,2243
2013,Number of cases,Sex,Epi Class,CA - Male,2401
2014,Number of cases,Sex,Epi Class,CA - Male,2487
2015,Number of cases,Sex,Epi Class,CA - Male,2787
2016,Number of cases,Sex,Epi Class,CA - Male,3016
2017,Number of cases,Sex,Epi Class,CA - Male,2829
2011,Number of cases,Sex,Epi Class,HA - Female,5707
2012,Number of cases,Sex,Epi Class,HA - Female,5985
2013,Number of cases,Sex,Epi Class,HA - Female,5630
2014,Number of cases,Sex,Epi Class,HA - Female,5443
2015,Number of cases,Sex,Epi Class,HA - Female,5361
2016,Number of cases,Sex,Epi Class,HA - Female,4791
2017,Number of cases,Sex,Epi Class,HA - Female,4301
2011,Number of cases,Sex,Epi Class,HA - Male,4470
2012,Number of cases,Sex,Epi Class,HA - Male,4497
2013,Number of cases,Sex,Epi Class,HA - Male,4308
2014,Number of cases,Sex,Epi Class,HA - Male,4220
2015,Number of cases,Sex,Epi Class,HA - Male,4305
2016,Number of cases,Sex,Epi Class,HA - Male,4090
2017,Number of cases,Sex,Epi Class,HA - Male,3672
2018,Number of Cases,Sex,Epi Class,CA - Male,2905
2018,Number of Cases,Sex,Epi Class,HA - Male,3640
2018,Number of Cases,Sex,Epi Class,CA - Female,4995
2018,Number of Cases,Sex,Epi Class,HA - Female,4051
2019,Number of Cases,Sex,Epi Class,CA - Male,2945
2019,Number of Cases,Sex,Epi Class,HA - Male,3278
2019,Number of Cases,Sex,Epi Class,CA - Female,4683
2019,Number of Cases,Sex,Epi Class,HA - Female,3706
2012,Strain type,Ribotype,Epi Class,CA - 002,0.09
2013,Strain type,Ribotype,Epi Class,CA - 002,0.08
2014,Strain type,Ribotype,Epi Class,CA - 002,0.08
2015,Strain type,Ribotype,Epi Class,CA - 002,0.06
2016,Strain type,Ribotype,Epi Class,CA - 002,0.07
2017,Strain type,Ribotype,Epi Class,CA - 002,0.1
2018,Strain type,Ribotype,Epi Class,CA - 002,0.08
2012,Strain type,Ribotype,Epi Class,CA - 014,0.05
2013,Strain type,Ribotype,Epi Class,CA - 014,0.05
2014,Strain type,Ribotype,Epi Class,CA - 014,0.05
2015,Strain type,Ribotype,Epi Class,CA - 014,0.07
2016,Strain type,Ribotype,Epi Class,CA - 014,0.06
2017,Strain type,Ribotype,Epi Class,CA - 014,0.05
2018,Strain type,Ribotype,Epi Class,CA - 014,0.06
2012,Strain type,Ribotype,Epi Class,CA - 020,0.06
2013,Strain type,Ribotype,Epi Class,CA - 020,0.08
2014,Strain type,Ribotype,Epi Class,CA - 020,0.08
2015,Strain type,Ribotype,Epi Class,CA - 020,0.07
2016,Strain type,Ribotype,Epi Class,CA - 020,0.04
2017,Strain type,Ribotype,Epi Class,CA - 020,0.06
2018,Strain type,Ribotype,Epi Class,CA - 020,0.04
2012,Strain type,Ribotype,Epi Class,CA - 027,0.17
2013,Strain type,Ribotype,Epi Class,CA - 027,0.12
2014,Strain type,Ribotype,Epi Class,CA - 027,0.07
2015,Strain type,Ribotype,Epi Class,CA - 027,0.08
2016,Strain type,Ribotype,Epi Class,CA - 027,0.09
2017,Strain type,Ribotype,Epi Class,CA - 027,0.06
2018,Strain type,Ribotype,Epi Class,CA - 027,0.04
2012,Strain type,Ribotype,Epi Class,CA - 106,0.09
2013,Strain type,Ribotype,Epi Class,CA - 106,0.09
2014,Strain type,Ribotype,Epi Class,CA - 106,0.11
2015,Strain type,Ribotype,Epi Class,CA - 106,0.09
2016,Strain type,Ribotype,Epi Class,CA - 106,0.13
2017,Strain type,Ribotype,Epi Class,CA - 106,0.12
2018,Strain type,Ribotype,Epi Class,CA - 106,0.16
2012,Strain type,Ribotype,Epi Class,HA - 002,0.06
2013,Strain type,Ribotype,Epi Class,HA - 002,0.05
2014,Strain type,Ribotype,Epi Class,HA - 002,0.09
2015,Strain type,Ribotype,Epi Class,HA - 002,0.07
2016,Strain type,Ribotype,Epi Class,HA - 002,0.06
2017,Strain type,Ribotype,Epi Class,HA - 002,0.07
2018,Strain type,Ribotype,Epi Class,HA - 002,0.07
2012,Strain type,Ribotype,Epi Class,HA - 014,0.05
2013,Strain type,Ribotype,Epi Class,HA - 014,0.07
2014,Strain type,Ribotype,Epi Class,HA - 014,0.07
2015,Strain type,Ribotype,Epi Class,HA - 014,0.07
2016,Strain type,Ribotype,Epi Class,HA - 014,0.07
2017,Strain type,Ribotype,Epi Class,HA - 014,0.07
2018,Strain type,Ribotype,Epi Class,HA - 014,0.07
2012,Strain type,Ribotype,Epi Class,HA - 020,0.05
2013,Strain type,Ribotype,Epi Class,HA - 020,0.05
2014,Strain type,Ribotype,Epi Class,HA - 020,0.06
2015,Strain type,Ribotype,Epi Class,HA - 020,0.06
2016,Strain type,Ribotype,Epi Class,HA - 020,0.06
2017,Strain type,Ribotype,Epi Class,HA - 020,0.04
2018,Strain type,Ribotype,Epi Class,HA - 020,0.06
2012,Strain type,Ribotype,Epi Class,HA - 027,0.21
2013,Strain type,Ribotype,Epi Class,HA - 027,0.24
2014,Strain type,Ribotype,Epi Class,HA - 027,0.14
2015,Strain type,Ribotype,Epi Class,HA - 027,0.19
2016,Strain type,Ribotype,Epi Class,HA - 027,0.16
2017,Strain type,Ribotype,Epi Class,HA - 027,0.15
2018,Strain type,Ribotype,Epi Class,HA - 027,0.16
2012,Strain type,Ribotype,Epi Class,HA - 106,0.09
2013,Strain type,Ribotype,Epi Class,HA - 106,0.08
2014,Strain type,Ribotype,Epi Class,HA - 106,0.12
2015,Strain type,Ribotype,Epi Class,HA - 106,0.09
2016,Strain type,Ribotype,Epi Class,HA - 106,0.11
2017,Strain type,Ribotype,Epi Class,HA - 106,0.1
2018,Strain type,Ribotype,Epi Class,HA - 106,0.12
