Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,North Carolina,2020-21,All Health Care Personnel,95.1,,259291
Seasonal Influenza,States,North Dakota,2020-21,All Health Care Personnel,92.2,,32626
Seasonal Influenza,States,Ohio,2020-21,All Health Care Personnel,86.6,,368477
Seasonal Influenza,States,Oklahoma,2020-21,All Health Care Personnel,92.7,,99034
Seasonal Influenza,States,Oregon,2020-21,All Health Care Personnel,70.7,,103256
Seasonal Influenza,States,Pennsylvania,2020-21,All Health Care Personnel,91.5,,346462
Seasonal Influenza,National,United States,2020-21,All Health Care Personnel,85.9,,8214305
Seasonal Influenza,States,Rhode Island,2020-21,All Health Care Personnel,83,,35847
Seasonal Influenza,States,South Carolina,2020-21,All Health Care Personnel,91,,124238
Seasonal Influenza,States,South Dakota,2020-21,All Health Care Personnel,96.4,,35022
Seasonal Influenza,States,Tennessee,2020-21,All Health Care Personnel,87.8,,193148
Seasonal Influenza,States,Texas,2020-21,All Health Care Personnel,83.6,,541380
Seasonal Influenza,States,Utah,2020-21,All Health Care Personnel,94.1,,78138
Seasonal Influenza,States,Vermont,2020-21,All Health Care Personnel,83.8,,19214
Seasonal Influenza,States,Virginia,2020-21,All Health Care Personnel,85.2,,164160
Seasonal Influenza,States,Washington,2020-21,All Health Care Personnel,84.3,,167724
Seasonal Influenza,States,West Virginia,2020-21,All Health Care Personnel,91.7,,63649
Seasonal Influenza,States,Wisconsin,2020-21,All Health Care Personnel,93.6,,192391
Seasonal Influenza,States,Wyoming,2020-21,All Health Care Personnel,88.5,,14146
Seasonal Influenza,States,Alabama,2013-14,Employees,76.5,,85312
Seasonal Influenza,States,Alaska,2013-14,Employees,78.7,,10408
Seasonal Influenza,States,Arizona,2013-14,Employees,82,,92020
Seasonal Influenza,States,Arkansas,2013-14,Employees,88,,57881
Seasonal Influenza,States,California,2013-14,Employees,83.4,,562695
Seasonal Influenza,States,Colorado,2013-14,Employees,97.1,,77766
Seasonal Influenza,States,Connecticut,2013-14,Employees,87.6,,75622
Seasonal Influenza,States,Delaware,2013-14,Employees,93.7,,20501
Seasonal Influenza,States,District of Columbia,2013-14,Employees,96.4,,26801
Seasonal Influenza,States,Florida,2013-14,Employees,72.4,,297609
Seasonal Influenza,States,Georgia,2013-14,Employees,88.7,,150315
Seasonal Influenza,States,Hawaii,2013-14,Employees,69,,18618
Seasonal Influenza,States,Idaho,2013-14,Employees,86.9,,23254
Seasonal Influenza,States,Illinois,2013-14,Employees,87.8,,244930
Seasonal Influenza,States,Indiana,2013-14,Employees,90.3,,141308
Seasonal Influenza,States,Iowa,2013-14,Employees,95.2,,70001
Seasonal Influenza,States,Kansas,2013-14,Employees,92,,49464
Seasonal Influenza,States,Kentucky,2013-14,Employees,81.5,,84823
Seasonal Influenza,States,Louisiana,2013-14,Employees,77,,94319
Seasonal Influenza,States,Maine,2013-14,Employees,86.5,,33401
Seasonal Influenza,States,Maryland,2013-14,Employees,97.3,,92978
Seasonal Influenza,States,Massachusetts,2013-14,Employees,87.1,,185846
Seasonal Influenza,States,Michigan,2013-14,Employees,87,,208776
Seasonal Influenza,States,Minnesota,2013-14,Employees,79.4,,110338
Seasonal Influenza,States,Mississippi,2013-14,Employees,75.6,,59462
Seasonal Influenza,States,Missouri,2013-14,Employees,93,,132090
Seasonal Influenza,States,Montana,2013-14,Employees,87.4,,18771
Seasonal Influenza,States,Nebraska,2013-14,Employees,94.3,,33475
Seasonal Influenza,States,Nevada,2013-14,Employees,88.2,,28511
Seasonal Influenza,States,New Hampshire,2013-14,Employees,94.5,,27610
Seasonal Influenza,States,New Jersey,2013-14,Employees,70.8,,145842
Seasonal Influenza,States,New Mexico,2013-14,Employees,83.1,,30767
Seasonal Influenza,States,New York,2013-14,Employees,85.9,,416569
Seasonal Influenza,States,North Carolina,2013-14,Employees,94.8,,175134
Seasonal Influenza,States,North Dakota,2013-14,Employees,91.3,,16939
Seasonal Influenza,States,Ohio,2013-14,Employees,87.1,,277806
Seasonal Influenza,States,Oklahoma,2013-14,Employees,87.1,,68680
Seasonal Influenza,States,Oregon,2013-14,Employees,82.3,,66624
Seasonal Influenza,States,Pennsylvania,2013-14,Employees,86.2,,309392
Seasonal Influenza,National,United States,2013-14,Employees,86.1,,5683406
Seasonal Influenza,States,Rhode Island,2013-14,Employees,89.7,,23552
Seasonal Influenza,States,South Carolina,2013-14,Employees,85,,89339
Seasonal Influenza,States,South Dakota,2013-14,Employees,94.9,,21774
Seasonal Influenza,States,Tennessee,2013-14,Employees,87.2,,122578
Seasonal Influenza,States,Texas,2013-14,Employees,91.3,,350392
Seasonal Influenza,States,Utah,2013-14,Employees,97.6,,41490
Seasonal Influenza,States,Vermont,2013-14,Employees,78.3,,13774
Seasonal Influenza,States,Virginia,2013-14,Employees,88.6,,107748
Seasonal Influenza,States,Washington,2013-14,Employees,90.9,,106311
Seasonal Influenza,States,West Virginia,2013-14,Employees,82.4,,47033
Seasonal Influenza,States,Wisconsin,2013-14,Employees,92.2,,127913
Seasonal Influenza,States,Wyoming,2013-14,Employees,89.3,,8844
Seasonal Influenza,States,Alabama,2014-15,Employees,80.5,,85218
Seasonal Influenza,States,Alaska,2014-15,Employees,75.3,,12445
Seasonal Influenza,States,Arizona,2014-15,Employees,90.2,,93666
Seasonal Influenza,States,Arkansas,2014-15,Employees,89,,56926
Seasonal Influenza,States,California,2014-15,Employees,86.5,,566936
Seasonal Influenza,States,Colorado,2014-15,Employees,98.3,,101920
Seasonal Influenza,States,Connecticut,2014-15,Employees,87.7,,75836
Seasonal Influenza,States,Delaware,2014-15,Employees,94.1,,21479
Seasonal Influenza,States,District of Columbia,2014-15,Employees,94.7,,26549
Seasonal Influenza,States,Florida,2014-15,Employees,79.4,,308140
Seasonal Influenza,States,Georgia,2014-15,Employees,88.8,,159844
Seasonal Influenza,States,Hawaii,2014-15,Employees,75.2,,19497
Seasonal Influenza,States,Idaho,2014-15,Employees,89.5,,26157
Seasonal Influenza,States,Illinois,2014-15,Employees,90.2,,243591
Seasonal Influenza,States,Indiana,2014-15,Employees,89.3,,133845
Seasonal Influenza,States,Iowa,2014-15,Employees,95,,71419
Seasonal Influenza,States,Kansas,2014-15,Employees,95.7,,51155
Seasonal Influenza,States,Kentucky,2014-15,Employees,87.2,,83472
Seasonal Influenza,States,Louisiana,2014-15,Employees,85.4,,90751
Seasonal Influenza,States,Maine,2014-15,Employees,87.2,,34664
Seasonal Influenza,States,Maryland,2014-15,Employees,98,,107671
Seasonal Influenza,States,Massachusetts,2014-15,Employees,89.3,,189012
Seasonal Influenza,States,Michigan,2014-15,Employees,87,,216670
Seasonal Influenza,States,Minnesota,2014-15,Employees,81.3,,106898
Seasonal Influenza,States,Mississippi,2014-15,Employees,84.4,,59248
Seasonal Influenza,States,Missouri,2014-15,Employees,95.1,,137207
Seasonal Influenza,States,Montana,2014-15,Employees,87.6,,18767
Seasonal Influenza,States,Nebraska,2014-15,Employees,95,,33142
Seasonal Influenza,States,Nevada,2014-15,Employees,87.5,,31246
Seasonal Influenza,States,New Hampshire,2014-15,Employees,95,,31369
Seasonal Influenza,States,New Jersey,2014-15,Employees,76.2,,142816
Seasonal Influenza,States,New Mexico,2014-15,Employees,86,,31889
Seasonal Influenza,States,New York,2014-15,Employees,86.3,,405771
Seasonal Influenza,States,North Carolina,2014-15,Employees,96.8,,174552
Seasonal Influenza,States,North Dakota,2014-15,Employees,90.1,,19643
Seasonal Influenza,States,Ohio,2014-15,Employees,89.1,,281144
Seasonal Influenza,States,Oklahoma,2014-15,Employees,91.2,,70372
Seasonal Influenza,States,Oregon,2014-15,Employees,83.8,,68672
Seasonal Influenza,States,Pennsylvania,2014-15,Employees,89.5,,289888
Seasonal Influenza,National,United States,2014-15,Employees,88.6,,5757764
Seasonal Influenza,States,Rhode Island,2014-15,Employees,89.7,,23500
Seasonal Influenza,States,South Carolina,2014-15,Employees,87.8,,89834
Seasonal Influenza,States,South Dakota,2014-15,Employees,95.2,,21678
Seasonal Influenza,States,Tennessee,2014-15,Employees,88.3,,121593
Seasonal Influenza,States,Texas,2014-15,Employees,92.6,,349700
Seasonal Influenza,States,Utah,2014-15,Employees,97.5,,42762
Seasonal Influenza,States,Vermont,2014-15,Employees,78.9,,14080
Seasonal Influenza,States,Virginia,2014-15,Employees,91.4,,110233
Seasonal Influenza,States,Washington,2014-15,Employees,89.8,,117658
Seasonal Influenza,States,West Virginia,2014-15,Employees,83.9,,47013
Seasonal Influenza,States,Wisconsin,2014-15,Employees,94.2,,130431
Seasonal Influenza,States,Wyoming,2014-15,Employees,88.8,,9795
Seasonal Influenza,States,Alabama,2015-16,Employees,80.6,,84868
Seasonal Influenza,States,Alaska,2015-16,Employees,67.3,,12595
Seasonal Influenza,States,Arizona,2015-16,Employees,90.8,,93542
Seasonal Influenza,States,Arkansas,2015-16,Employees,88.6,,60823
Seasonal Influenza,States,California,2015-16,Employees,86.7,,590105
Seasonal Influenza,States,Colorado,2015-16,Employees,97.6,,86465
Seasonal Influenza,States,Connecticut,2015-16,Employees,89.5,,70023
Seasonal Influenza,States,Delaware,2015-16,Employees,94.2,,23069
Seasonal Influenza,States,District of Columbia,2015-16,Employees,96.8,,26067
Seasonal Influenza,States,Florida,2015-16,Employees,83,,321315
Seasonal Influenza,States,Georgia,2015-16,Employees,90.8,,159503
Seasonal Influenza,States,Hawaii,2015-16,Employees,79,,20111
Seasonal Influenza,States,Idaho,2015-16,Employees,94.7,,31873
Seasonal Influenza,States,Illinois,2015-16,Employees,91.9,,249531
Seasonal Influenza,States,Indiana,2015-16,Employees,91.8,,141003
Seasonal Influenza,States,Iowa,2015-16,Employees,94.9,,76881
Seasonal Influenza,States,Kansas,2015-16,Employees,95.3,,54436
Seasonal Influenza,States,Kentucky,2015-16,Employees,90,,94768
Seasonal Influenza,States,Louisiana,2015-16,Employees,86.2,,94724
Seasonal Influenza,States,Maine,2015-16,Employees,84.5,,38245
Seasonal Influenza,States,Maryland,2015-16,Employees,97.6,,97918
Seasonal Influenza,States,Massachusetts,2015-16,Employees,90.7,,194039
Seasonal Influenza,States,Michigan,2015-16,Employees,90.4,,227858
Seasonal Influenza,States,Minnesota,2015-16,Employees,82.8,,122696
Seasonal Influenza,States,Mississippi,2015-16,Employees,83,,64838
Seasonal Influenza,States,Missouri,2015-16,Employees,95.1,,145066
Seasonal Influenza,States,Montana,2015-16,Employees,87.1,,24184
Seasonal Influenza,States,Nebraska,2015-16,Employees,95.2,,39388
Seasonal Influenza,States,Nevada,2015-16,Employees,89.1,,31745
Seasonal Influenza,States,New Hampshire,2015-16,Employees,95.6,,33160
Seasonal Influenza,States,New Jersey,2015-16,Employees,86.8,,146080
Seasonal Influenza,States,New Mexico,2015-16,Employees,88,,35530
Seasonal Influenza,States,New York,2015-16,Employees,86.7,,429044
Seasonal Influenza,States,North Carolina,2015-16,Employees,97,,181070
Seasonal Influenza,States,North Dakota,2015-16,Employees,90.9,,26078
Seasonal Influenza,States,Ohio,2015-16,Employees,88.6,,287040
Seasonal Influenza,States,Oklahoma,2015-16,Employees,92.3,,69456
Seasonal Influenza,States,Oregon,2015-16,Employees,83,,69854
Seasonal Influenza,States,Pennsylvania,2015-16,Employees,92.9,,280381
Seasonal Influenza,National,United States,2015-16,Employees,89.8,,5967338
Seasonal Influenza,States,Rhode Island,2015-16,Employees,90.4,,23784
Seasonal Influenza,States,South Carolina,2015-16,Employees,91.5,,91584
Seasonal Influenza,States,South Dakota,2015-16,Employees,95.9,,25332
Seasonal Influenza,States,Tennessee,2015-16,Employees,90.5,,127097
Seasonal Influenza,States,Texas,2015-16,Employees,92.2,,374210
Seasonal Influenza,States,Utah,2015-16,Employees,98.2,,43962
Seasonal Influenza,States,Vermont,2015-16,Employees,78.2,,17598
Seasonal Influenza,States,Virginia,2015-16,Employees,91,,114777
Seasonal Influenza,States,Washington,2015-16,Employees,91.1,,122084
Seasonal Influenza,States,West Virginia,2015-16,Employees,88.6,,50089
Seasonal Influenza,States,Wisconsin,2015-16,Employees,95.2,,130796
Seasonal Influenza,States,Wyoming,2015-16,Employees,90.7,,10653
Seasonal Influenza,States,Alabama,2016-17,Employees,82.1,,89977
Seasonal Influenza,States,Alaska,2016-17,Employees,78.5,,15178
Seasonal Influenza,States,Arizona,2016-17,Employees,93.3,,96287
Seasonal Influenza,States,Arkansas,2016-17,Employees,88.6,,63692
Seasonal Influenza,States,California,2016-17,Employees,87.5,,603992
Seasonal Influenza,States,Colorado,2016-17,Employees,97.7,,78378
Seasonal Influenza,States,Connecticut,2016-17,Employees,92.6,,71079
Seasonal Influenza,States,Delaware,2016-17,Employees,95.1,,23967
Seasonal Influenza,States,District of Columbia,2016-17,Employees,97.2,,25657
Seasonal Influenza,States,Florida,2016-17,Employees,82.5,,354685
Seasonal Influenza,States,Georgia,2016-17,Employees,92.2,,167358
Seasonal Influenza,States,Hawaii,2016-17,Employees,82.9,,18809
Seasonal Influenza,States,Idaho,2016-17,Employees,93.5,,32674
Seasonal Influenza,States,Illinois,2016-17,Employees,92.7,,260549
Seasonal Influenza,States,Indiana,2016-17,Employees,92,,150120
Seasonal Influenza,States,Iowa,2016-17,Employees,95.4,,81039
Seasonal Influenza,States,Kansas,2016-17,Employees,95.1,,64036
Seasonal Influenza,States,Kentucky,2016-17,Employees,88.4,,87268
Seasonal Influenza,States,Louisiana,2016-17,Employees,88.5,,95733
Seasonal Influenza,States,Maine,2016-17,Employees,88.8,,41222
Seasonal Influenza,States,Maryland,2016-17,Employees,97.8,,74462
Seasonal Influenza,States,Massachusetts,2016-17,Employees,91.8,,199334
Seasonal Influenza,States,Michigan,2016-17,Employees,92.1,,241455
Seasonal Influenza,States,Minnesota,2016-17,Employees,83.2,,127624
Seasonal Influenza,States,Mississippi,2016-17,Employees,84.9,,65089
Seasonal Influenza,States,Missouri,2016-17,Employees,95.3,,149159
Seasonal Influenza,States,Montana,2016-17,Employees,88.8,,27407
Seasonal Influenza,States,Nebraska,2016-17,Employees,95.6,,40738
Seasonal Influenza,States,Nevada,2016-17,Employees,89.9,,33684
Seasonal Influenza,States,New Hampshire,2016-17,Employees,95.6,,39440
Seasonal Influenza,States,New Jersey,2016-17,Employees,89.1,,151148
Seasonal Influenza,States,New Mexico,2016-17,Employees,89.3,,34757
Seasonal Influenza,States,New York,2016-17,Employees,87.6,,423138
Seasonal Influenza,States,North Carolina,2016-17,Employees,97.3,,189034
Seasonal Influenza,States,North Dakota,2016-17,Employees,91.5,,27604
Seasonal Influenza,States,Ohio,2016-17,Employees,90,,288648
Seasonal Influenza,States,Oklahoma,2016-17,Employees,92.5,,70557
Seasonal Influenza,States,Oregon,2016-17,Employees,83.9,,79336
Seasonal Influenza,States,Pennsylvania,2016-17,Employees,92.6,,290585
Seasonal Influenza,National,United States,2016-17,Employees,90.5,,6157219
Seasonal Influenza,States,Rhode Island,2016-17,Employees,91.2,,23610
Seasonal Influenza,States,South Carolina,2016-17,Employees,90.4,,96199
Seasonal Influenza,States,South Dakota,2016-17,Employees,97.3,,25345
Seasonal Influenza,States,Tennessee,2016-17,Employees,91.3,,131556
Seasonal Influenza,States,Texas,2016-17,Employees,92.4,,399540
Seasonal Influenza,States,Utah,2016-17,Employees,98,,45760
Seasonal Influenza,States,Vermont,2016-17,Employees,81.2,,17255
Seasonal Influenza,States,Virginia,2016-17,Employees,91.7,,122618
Seasonal Influenza,States,Washington,2016-17,Employees,91.6,,129042
Seasonal Influenza,States,West Virginia,2016-17,Employees,92.6,,48243
Seasonal Influenza,States,Wisconsin,2016-17,Employees,94.9,,132386
Seasonal Influenza,States,Wyoming,2016-17,Employees,93.1,,10766
Seasonal Influenza,States,Alabama,2017-18,Employees,88.8,,94464
Seasonal Influenza,States,Alaska,2017-18,Employees,79.6,,17105
Seasonal Influenza,States,Arizona,2017-18,Employees,92.7,,94791
Seasonal Influenza,States,Arkansas,2017-18,Employees,91.1,,65636
Seasonal Influenza,States,California,2017-18,Employees,87.3,,622364
Seasonal Influenza,States,Colorado,2017-18,Employees,97.7,,79231
Seasonal Influenza,States,Connecticut,2017-18,Employees,93.6,,71009
Seasonal Influenza,States,Delaware,2017-18,Employees,93.7,,27959
Seasonal Influenza,States,District of Columbia,2017-18,Employees,97.1,,20473
Seasonal Influenza,States,Florida,2017-18,Employees,83.8,,364588
Seasonal Influenza,States,Georgia,2017-18,Employees,92.7,,174714
Seasonal Influenza,States,Hawaii,2017-18,Employees,83.5,,21371
Seasonal Influenza,States,Idaho,2017-18,Employees,95.7,,34342
Seasonal Influenza,States,Illinois,2017-18,Employees,94.4,,256976
Seasonal Influenza,States,Indiana,2017-18,Employees,90.8,,153822
Seasonal Influenza,States,Iowa,2017-18,Employees,95.1,,79209
Seasonal Influenza,States,Kansas,2017-18,Employees,95.4,,64369
Seasonal Influenza,States,Kentucky,2017-18,Employees,93,,98106
Seasonal Influenza,States,Louisiana,2017-18,Employees,90,,93327
Seasonal Influenza,States,Maine,2017-18,Employees,90.4,,40327
Seasonal Influenza,States,Maryland,2017-18,Employees,97.2,,92372
Seasonal Influenza,States,Massachusetts,2017-18,Employees,92.6,,199639
Seasonal Influenza,States,Michigan,2017-18,Employees,92.2,,235215
Seasonal Influenza,States,Minnesota,2017-18,Employees,85.7,,129710
Seasonal Influenza,States,Mississippi,2017-18,Employees,84.9,,66417
Seasonal Influenza,States,Missouri,2017-18,Employees,96.1,,153586
Seasonal Influenza,States,Montana,2017-18,Employees,91,,29834
Seasonal Influenza,States,Nebraska,2017-18,Employees,93.3,,39439
Seasonal Influenza,States,Nevada,2017-18,Employees,90.2,,34512
Seasonal Influenza,States,New Hampshire,2017-18,Employees,95,,36076
Seasonal Influenza,States,New Jersey,2017-18,Employees,91,,158548
Seasonal Influenza,States,New Mexico,2017-18,Employees,88.2,,35891
Seasonal Influenza,States,New York,2017-18,Employees,86.9,,459969
Seasonal Influenza,States,North Carolina,2017-18,Employees,97,,192397
Seasonal Influenza,States,North Dakota,2017-18,Employees,92.6,,27578
Seasonal Influenza,States,Ohio,2017-18,Employees,89.1,,288359
Seasonal Influenza,States,Oklahoma,2017-18,Employees,94.4,,72866
Seasonal Influenza,States,Oregon,2017-18,Employees,84.8,,79404
Seasonal Influenza,States,Pennsylvania,2017-18,Employees,92.7,,296211
Seasonal Influenza,National,United States,2017-18,Employees,91.1,,6303173
Seasonal Influenza,States,Rhode Island,2017-18,Employees,90.1,,23224
Seasonal Influenza,States,South Carolina,2017-18,Employees,94,,93561
Seasonal Influenza,States,South Dakota,2017-18,Employees,96.6,,25100
Seasonal Influenza,States,Tennessee,2017-18,Employees,92.7,,135009
Seasonal Influenza,States,Texas,2017-18,Employees,93.8,,408213
Seasonal Influenza,States,Utah,2017-18,Employees,99,,45616
Seasonal Influenza,States,Vermont,2017-18,Employees,80.6,,18645
Seasonal Influenza,States,Virginia,2017-18,Employees,91.5,,123966
Seasonal Influenza,States,Washington,2017-18,Employees,91.9,,129593
Seasonal Influenza,States,West Virginia,2017-18,Employees,92.5,,51259
Seasonal Influenza,States,Wisconsin,2017-18,Employees,95.7,,135551
Seasonal Influenza,States,Wyoming,2017-18,Employees,93.7,,11230
Seasonal Influenza,States,Alabama,2018-19,Employees,90.6,,94536
Seasonal Influenza,States,Alaska,2018-19,Employees,85.9,,19005
Seasonal Influenza,States,Arizona,2018-19,Employees,93,,93061
Seasonal Influenza,States,Arkansas,2018-19,Employees,93.2,,68204
Seasonal Influenza,States,California,2018-19,Employees,88.3,,622103
Seasonal Influenza,States,Colorado,2018-19,Employees,98,,89513
Seasonal Influenza,States,Connecticut,2018-19,Employees,93.5,,71584
Seasonal Influenza,States,Delaware,2018-19,Employees,94.9,,28146
Seasonal Influenza,States,District of Columbia,2018-19,Employees,98.4,,19553
Seasonal Influenza,States,Florida,2018-19,Employees,85.3,,371607
Seasonal Influenza,States,Georgia,2018-19,Employees,92.4,,177390
Seasonal Influenza,States,Hawaii,2018-19,Employees,83.1,,19595
Seasonal Influenza,States,Idaho,2018-19,Employees,96.2,,33724
Seasonal Influenza,States,Illinois,2018-19,Employees,96,,258297
Seasonal Influenza,States,Indiana,2018-19,Employees,94.2,,159644
Seasonal Influenza,States,Iowa,2018-19,Employees,96.5,,76864
Seasonal Influenza,States,Kansas,2018-19,Employees,95.9,,66361
Seasonal Influenza,States,Kentucky,2018-19,Employees,94.5,,98830
Seasonal Influenza,States,Louisiana,2018-19,Employees,91.2,,93865
Seasonal Influenza,States,Maine,2018-19,Employees,91.7,,40464
Seasonal Influenza,States,Maryland,2018-19,Employees,97.6,,73320
Seasonal Influenza,States,Massachusetts,2018-19,Employees,94.9,,204778
Seasonal Influenza,States,Michigan,2018-19,Employees,93.5,,238301
Seasonal Influenza,States,Minnesota,2018-19,Employees,86.1,,138621
Seasonal Influenza,States,Mississippi,2018-19,Employees,88.8,,66626
Seasonal Influenza,States,Missouri,2018-19,Employees,96.5,,148091
Seasonal Influenza,States,Montana,2018-19,Employees,92.2,,29302
Seasonal Influenza,States,Nebraska,2018-19,Employees,94.1,,38038
Seasonal Influenza,States,Nevada,2018-19,Employees,91.4,,35595
Seasonal Influenza,States,New Hampshire,2018-19,Employees,94.6,,37341
Seasonal Influenza,States,New Jersey,2018-19,Employees,93.1,,153020
Seasonal Influenza,States,New Mexico,2018-19,Employees,91.2,,36843
Seasonal Influenza,States,New York,2018-19,Employees,88,,455570
Seasonal Influenza,States,North Carolina,2018-19,Employees,97.4,,199401
Seasonal Influenza,States,North Dakota,2018-19,Employees,93.2,,27728
Seasonal Influenza,States,Ohio,2018-19,Employees,91.8,,278067
Seasonal Influenza,States,Oklahoma,2018-19,Employees,95.4,,73656
Seasonal Influenza,States,Oregon,2018-19,Employees,86.8,,79367
Seasonal Influenza,States,Pennsylvania,2018-19,Employees,94,,279349
Seasonal Influenza,National,United States,2018-19,Employees,92.3,,6303025
Seasonal Influenza,States,Rhode Island,2018-19,Employees,90.4,,23683
Seasonal Influenza,States,South Carolina,2018-19,Employees,93.8,,92374
Seasonal Influenza,States,South Dakota,2018-19,Employees,97.4,,25333
Seasonal Influenza,States,Tennessee,2018-19,Employees,93.4,,142267
Seasonal Influenza,States,Texas,2018-19,Employees,94.4,,403525
Seasonal Influenza,States,Utah,2018-19,Employees,99,,45424
Seasonal Influenza,States,Vermont,2018-19,Employees,82.8,,18602
Seasonal Influenza,States,Virginia,2018-19,Employees,94.1,,123216
Seasonal Influenza,States,Washington,2018-19,Employees,92.4,,127119
Seasonal Influenza,States,West Virginia,2018-19,Employees,94.1,,52776
Seasonal Influenza,States,Wisconsin,2018-19,Employees,96.5,,141786
Seasonal Influenza,States,Wyoming,2018-19,Employees,94.5,,11560
Seasonal Influenza,States,Alabama,2020-21,Employees,88,,103733
Seasonal Influenza,States,Alaska,2020-21,Employees,87.4,,17586
Seasonal Influenza,States,Arizona,2020-21,Employees,89.2,,84926
Seasonal Influenza,States,Arkansas,2020-21,Employees,89.1,,63674
Seasonal Influenza,States,California,2020-21,Employees,81.4,,634324
Seasonal Influenza,States,Colorado,2020-21,Employees,96.2,,97066
Seasonal Influenza,States,Connecticut,2020-21,Employees,90.2,,77630
Seasonal Influenza,States,Delaware,2020-21,Employees,90.7,,25754
Seasonal Influenza,States,District of Columbia,2020-21,Employees,94.6,,19341
Seasonal Influenza,States,Florida,2020-21,Employees,78.1,,358973
Seasonal Influenza,States,Georgia,2020-21,Employees,86.3,,180016
Seasonal Influenza,States,Hawaii,2020-21,Employees,82.3,,21460
Seasonal Influenza,States,Idaho,2020-21,Employees,90.5,,38884
Seasonal Influenza,States,Illinois,2020-21,Employees,94.7,,248440
Seasonal Influenza,States,Indiana,2020-21,Employees,94.8,,155165
Seasonal Influenza,States,Iowa,2020-21,Employees,94.2,,73249
Seasonal Influenza,States,Kansas,2020-21,Employees,92.5,,63530
Seasonal Influenza,States,Kentucky,2020-21,Employees,88.4,,95248
Seasonal Influenza,States,Louisiana,2020-21,Employees,85.2,,105072
Seasonal Influenza,States,Maine,2020-21,Employees,92.4,,36761
Seasonal Influenza,States,Maryland,2020-21,Employees,96.2,,87664
Seasonal Influenza,States,Massachusetts,2020-21,Employees,95.7,,190462
Seasonal Influenza,States,Michigan,2020-21,Employees,91.5,,236282
Seasonal Influenza,States,Minnesota,2020-21,Employees,82.8,,121067
Seasonal Influenza,States,Mississippi,2020-21,Employees,81.5,,65947
Seasonal Influenza,States,Missouri,2020-21,Employees,95.3,,142619
Seasonal Influenza,States,Montana,2020-21,Employees,87.3,,29759
Seasonal Influenza,States,Nebraska,2020-21,Employees,91.2,,40525
Seasonal Influenza,States,Nevada,2020-21,Employees,74.7,,37597
Seasonal Influenza,States,New Hampshire,2020-21,Employees,95.2,,37683
Seasonal Influenza,States,New Jersey,2020-21,Employees,91.3,,152551
Seasonal Influenza,States,New Mexico,2020-21,Employees,81.6,,39882
Seasonal Influenza,States,New York,2020-21,Employees,79.3,,457483
Seasonal Influenza,States,North Carolina,2020-21,Employees,96,,199521
Seasonal Influenza,States,North Dakota,2020-21,Employees,91,,25474
Seasonal Influenza,States,Ohio,2020-21,Employees,90.7,,285463
Seasonal Influenza,States,Oklahoma,2020-21,Employees,93.8,,75516
Seasonal Influenza,States,Oregon,2020-21,Employees,76.4,,83265
Seasonal Influenza,States,Pennsylvania,2020-21,Employees,91.4,,267284
Seasonal Influenza,National,United States,2020-21,Employees,88.1,,6272842
Seasonal Influenza,States,Rhode Island,2020-21,Employees,79,,24491
Seasonal Influenza,States,South Carolina,2020-21,Employees,91.7,,101754
Seasonal Influenza,States,South Dakota,2020-21,Employees,96.8,,29341
Seasonal Influenza,States,Tennessee,2020-21,Employees,87.5,,142844
Seasonal Influenza,States,Texas,2020-21,Employees,88.1,,377125
Seasonal Influenza,States,Utah,2020-21,Employees,95.2,,49177
Seasonal Influenza,States,Vermont,2020-21,Employees,83,,16944
Seasonal Influenza,States,Virginia,2020-21,Employees,89,,124070
Seasonal Influenza,States,Washington,2020-21,Employees,86,,126100
Seasonal Influenza,States,West Virginia,2020-21,Employees,93.7,,50053
Seasonal Influenza,States,Wisconsin,2020-21,Employees,94.6,,142788
Seasonal Influenza,States,Wyoming,2020-21,Employees,90.7,,11279
Seasonal Influenza,States,Alabama,2013-14,Licensed Independent Practitioners,40.8,,15332
Seasonal Influenza,States,Alaska,2013-14,Licensed Independent Practitioners,55.9,,2034
Seasonal Influenza,States,Arizona,2013-14,Licensed Independent Practitioners,62.7,,26392
Seasonal Influenza,States,Arkansas,2013-14,Licensed Independent Practitioners,44.3,,7076
Seasonal Influenza,States,California,2013-14,Licensed Independent Practitioners,62.3,,136667
Seasonal Influenza,States,Colorado,2013-14,Licensed Independent Practitioners,88.6,,28171
Seasonal Influenza,States,Connecticut,2013-14,Licensed Independent Practitioners,72.5,,14363
Seasonal Influenza,States,Delaware,2013-14,Licensed Independent Practitioners,71.7,,2612
Seasonal Influenza,States,District of Columbia,2013-14,Licensed Independent Practitioners,92,,5553
Seasonal Influenza,States,Florida,2013-14,Licensed Independent Practitioners,33.8,,83585
Seasonal Influenza,States,Georgia,2013-14,Licensed Independent Practitioners,69.5,,27213
Seasonal Influenza,States,Hawaii,2013-14,Licensed Independent Practitioners,57.6,,3026
Seasonal Influenza,States,Idaho,2013-14,Licensed Independent Practitioners,34.5,,3932
Seasonal Influenza,States,Illinois,2013-14,Licensed Independent Practitioners,62.8,,50431
Seasonal Influenza,States,Indiana,2013-14,Licensed Independent Practitioners,73.4,,25963
Seasonal Influenza,States,Iowa,2013-14,Licensed Independent Practitioners,77.6,,10390
Seasonal Influenza,States,Kansas,2013-14,Licensed Independent Practitioners,69.6,,10959
